Key,Value
0,1
1,7
2,1
3,8
4,6
5,4
6,3
7,18
8,9
9,11
10,1
11,4
12,5
13,15
14,5
15,4
16,17
17,13
18,4
19,1
20,6
21,1
22,1
23,7
24,1
25,4
26,2
27,9
28,1
29,4
30,7
31,1
32,6
33,1
34,11
35,1
36,1
37,4
38,3
39,1
40,6
41,11
42,44
43,1
44,6
45,1
46,41
47,6
48,1
49,17
50,4
51,1
52,4
53,2
54,14
55,1
56,8
57,4
58,5
59,6
60,8
61,1
62,7
63,1
64,3
65,14
66,6
67,3
68,3
69,3
70,3
71,6
72,11
73,8
74,11
75,8
76,9
77,3
78,9
79,7
80,4
81,3
82,2
83,5
84,4
85,8
86,2
87,3
88,13
89,7
90,1
91,1
92,19
93,5
94,5
95,2
96,1
97,1
98,1
99,2
100,2
101,1
102,1
103,26
104,5
105,49
106,5
107,4
108,17
109,3
110,3
111,4
112,4
113,9
114,5
115,19
116,6
117,1
118,7
119,4
120,6
121,1
122,10
123,1
124,2
125,1
126,7
127,1
128,11
129,15
130,6
131,5
132,8
133,2
134,6
135,7
136,1
137,1
138,3
139,7
140,9
141,3
142,44
143,5
144,6
145,2
146,18
147,1
148,1
149,2
150,1
151,9
152,18
153,1
154,1
155,6
156,1
157,3
158,10
159,2
160,1
161,7
162,2
163,2
164,9
165,13
166,30
167,7
168,8
169,18
170,8
171,4
172,2
173,4
174,7
175,7
176,15
177,1
178,2
179,12
180,8
181,3
182,6
183,1
184,4
185,1
186,2
187,1
188,2
189,4
190,6
191,1
192,2
193,4
194,8
195,13
196,15
197,3
198,1
199,4
200,2
201,24
202,26
203,8
204,8
205,8
206,19
207,1
208,1
209,13
210,9
211,4
212,5
213,1
214,1
215,1
216,2
217,3
218,1
219,13
220,3
221,3
222,2
223,3
224,1
225,15
226,10
227,8
228,9
229,11
230,11
231,5
232,12
233,5
234,1
235,15
236,3
237,11
238,13
239,3
240,2
241,1
242,13
243,8
244,10
245,1
246,1
247,6
248,1
249,21
250,1
251,6
252,4
253,4
254,19
255,4
256,9
257,7
258,24
259,2
260,26
261,8
262,4
263,12
264,2
265,1
266,5
267,1
268,9
269,17
270,5
271,1
272,4
273,3
274,1
275,13
276,35
277,13
278,5
279,24
280,3
281,4
282,8
283,7
284,9
285,6
286,9
287,3
288,2
289,6
290,12
291,1
292,10
293,2
294,7
295,12
296,1
297,6
298,1
299,1
300,3
301,10
302,9
303,7
304,8
305,2
306,22
307,5
308,21
309,15
310,4
311,12
312,9
313,7
314,6
315,11
316,3
317,5
318,1
319,29
320,2
321,1
322,7
323,1
324,1
325,9
326,9
327,4
328,5
329,31
330,8
331,8
332,2
333,8
334,5
335,1
336,1
337,3
338,1
339,8
340,2
341,6
342,5
343,4
344,13
345,18
346,7
347,1
348,1
349,6
350,1
351,13
352,10
353,1
354,7
355,1
356,18
357,30
358,2
359,6
360,1
361,1
362,3
363,13
364,13
365,11
366,20
367,5
368,21
369,14
370,1
371,1
372,11
373,6
374,5
375,9
376,1
377,6
378,1
379,1
380,4
381,3
382,33
383,14
384,7
385,6
386,3
387,16
388,7
389,9
390,6
391,6
392,12
393,12
394,3
395,4
396,5
397,9
398,1
399,21
400,10
401,1
402,6
403,1
404,1
405,7
406,2
407,1
408,2
409,6
410,9
411,4
412,32
413,2
414,6
415,6
416,7
417,9
418,3
419,1
420,21
421,2
422,3
423,36
424,1
425,8
426,13
427,5
428,2
429,3
430,1
431,7
432,1
433,9
434,3
435,21
436,10
437,12
438,5
439,21
440,5
441,21
442,16
443,6
444,6
445,4
446,1
447,8
448,2
449,9
450,1
451,5
452,7
453,2
454,11
455,2
456,4
457,1
458,1
459,6
460,1
461,10
462,2
463,11
464,2
465,1
466,15
467,9
468,3
469,5
470,21
471,2
472,4
473,2
474,2
475,6
476,7
477,4
478,13
479,3
480,14
481,1
482,1
483,9
484,12
485,1
486,5
487,9
488,17
489,1
490,5
491,2
492,1
493,16
494,1
495,1
496,26
497,8
498,5
499,7
500,18
501,1
502,4
503,7
504,11
505,31
506,23
507,1
508,1
509,27
510,3
511,1
512,7
513,1
514,3
515,23
516,11
517,2
518,24
519,5
520,9
521,1
522,48
523,1
524,1
525,21
526,4
527,6
528,1
529,31
530,1
531,2
532,5
533,1
534,9
535,2
536,11
537,4
538,17
539,24
540,13
541,18
542,4
543,50
544,4
545,3
546,1
547,9
548,1
549,4
550,4
551,1
552,7
553,5
554,1
555,7
556,1
557,8
558,1
559,5
560,3
561,4
562,3
563,5
564,15
565,3
566,4
567,4
568,1
569,2
570,15
571,7
572,4
573,11
574,4
575,16
576,9
577,16
578,2
579,11
580,6
581,1
582,9
583,19
584,3
585,1
586,7
587,1
588,3
589,8
590,3
591,5
592,17
593,6
594,5
595,15
596,5
597,1
598,7
599,5
600,11
601,5
602,20
603,7
604,24
605,12
606,1
607,14
608,17
609,1
610,7
611,1
612,21
613,16
614,3
615,6
616,6
617,11
618,32
619,5
620,15
621,30
622,3
623,5
624,6
625,1
626,3
627,1
628,5
629,1
630,1
631,2
632,4
633,7
634,7
635,1
636,5
637,2
638,1
639,21
640,3
641,14
642,1
643,3
644,4
645,3
646,7
647,12
648,1
649,17
650,6
651,2
652,15
653,7
654,20
655,7
656,5
657,11
658,1
659,8
660,23
661,1
662,7
663,1
664,3
665,1
666,2
667,8
668,8
669,10
670,4
671,1
672,4
673,23
674,4
675,9
676,13
677,18
678,4
679,10
680,9
681,3
682,2
683,1
684,12
685,10
686,1
687,1
688,1
689,6
690,11
691,6
692,6
693,1
694,7
695,1
696,6
697,19
698,4
699,8
700,16
701,6
702,21
703,2
704,4
705,11
706,1
707,4
708,10
709,23
710,2
711,3
712,7
713,1
714,1
715,10
716,1
717,7
718,4
719,7
720,1
721,12
722,1
723,7
724,1
725,13
726,6
727,29
728,19
729,3
730,6
731,25
732,4
733,4
734,13
735,2
736,12
737,2
738,10
739,6
740,1
741,4
742,1
743,8
744,13
745,1
746,7
747,2
748,1
749,7
750,1
751,8
752,7
753,10
754,1
755,10
756,5
757,4
758,3
759,9
760,48
761,4
762,8
763,2
764,34
765,6
766,1
767,3
768,3
769,13
770,3
771,1
772,8
773,1
774,7
775,1
776,1
777,13
778,4
779,5
780,1
781,11
782,3
783,3
784,14
785,8
786,4
787,3
788,32
789,6
790,23
791,10
792,4
793,14
794,1
795,3
796,4
797,4
798,14
799,5
800,1
801,1
802,2
803,5
804,1
805,7
806,2
807,20
808,13
809,3
810,1
811,3
812,10
813,9
814,4
815,8
816,13
817,11
818,1
819,10
820,10
821,5
822,7
823,3
824,7
825,10
826,2
827,1
828,3
829,2
830,4
831,1
832,4
833,6
834,2
835,1
836,2
837,6
838,1
839,2
840,3
841,1
842,1
843,1
844,3
845,5
846,14
847,10
848,4
849,9
850,4
851,5
852,5
853,27
854,53
855,20
856,1
857,3
858,28
859,1
860,7
861,1
862,8
863,8
864,1
865,5
866,1
867,5
868,3
869,9
870,3
871,7
872,16
873,9
874,6
875,11
876,9
877,6
878,4
879,3
880,5
881,4
882,1
883,27
884,8
885,1
886,7
887,2
888,3
889,3
890,4
891,7
892,5
893,1
894,7
895,1
896,6
897,1
898,10
899,11
900,7
901,5
902,1
903,16
904,5
905,14
906,3
907,16
908,13
909,4
910,3
911,25
912,6
913,13
914,1
915,5
916,1
917,22
918,1
919,2
920,1
921,2
922,5
923,1
924,3
925,4
926,2
927,9
928,2
929,3
930,1
931,17
932,5
933,6
934,10
935,2
936,14
937,30
938,10
939,8
940,11
941,1
942,20
943,1
944,1
945,7
946,4
947,15
948,5
949,1
950,7
951,1
952,8
953,4
954,12
955,4
956,6
957,36
958,12
959,3
960,5
961,8
962,6
963,1
964,9
965,2
966,2
967,2
968,17
969,7
970,15
971,1
972,5
973,4
974,2
975,6
976,9
977,5
978,1
979,7
980,1
981,4
982,3
983,4
984,1
985,3
986,12
987,7
988,2
989,4
990,12
991,1
992,2
993,11
994,1
995,1
996,6
997,12
998,1
999,7
1000,6
1001,18
1002,3
1003,6
1004,3
1005,8
1006,7
1007,14
1008,1
1009,25
1010,6
1011,1
1012,1
1013,4
1014,2
1015,1
1016,2
1017,7
1018,24
1019,13
1020,5
1021,5
1022,1
1023,7
1024,7
1025,5
1026,35
1027,10
1028,8
1029,6
1030,23
1031,1
1032,1
1033,3
1034,28
1035,1
1036,2
1037,4
1038,1
1039,1
1040,1
1041,1
1042,1
1043,7
1044,2
1045,2
1046,2
1047,1
1048,5
1049,11
1050,7
1051,2
1052,4
1053,13
1054,7
1055,26
1056,14
1057,15
1058,6
1059,28
1060,3
1061,1
1062,1
1063,7
1064,6
1065,17
1066,1
1067,1
1068,7
1069,1
1070,10
1071,2
1072,24
1073,8
1074,6
1075,5
1076,11
1077,4
1078,9
1079,19
1080,5
1081,2
1082,2
1083,5
1084,41
1085,4
1086,2
1087,1
1088,1
1089,1
1090,5
1091,3
1092,9
1093,5
1094,7
1095,1
1096,7
1097,1
1098,19
1099,6
1100,13
1101,14
1102,1
1103,2
1104,1
1105,6
1106,5
1107,10
1108,8
1109,1
1110,8
1111,9
1112,18
1113,3
1114,6
1115,11
1116,16
1117,2
1118,1
1119,3
1120,15
1121,1
1122,3
1123,9
1124,1
1125,1
1126,5
1127,1
1128,1
1129,10
1130,5
1131,1
1132,2
1133,19
1134,5
1135,4
1136,1
1137,5
1138,2
1139,17
1140,18
1141,11
1142,13
1143,7
1144,4
